score_key,eta2,f1,accuracy,precision,recall,specificity,direction,threshold,tp,fp,tn,fn,c3_mean,c0_mean
high_low_gap_0_9_0_5,0.06528800289602467,0.6835443037974684,0.6376811594202898,0.574468085106383,0.84375,0.4594594594594595,low_is_c3,0.07142857142857145,27,20,17,5,-0.1024678140486964,0.0024943899943899936
strict_high_low_gap_0_9_0_5,0.06528800289602467,0.6835443037974684,0.6376811594202898,0.574468085106383,0.84375,0.4594594594594595,low_is_c3,0.07142857142857145,27,20,17,5,-0.1024678140486964,0.0024943899943899936
c2_repetition_symptom_score,0.013307762908064883,0.6823529411764705,0.6086956521739131,0.5471698113207547,0.90625,0.35135135135135137,high_is_c3,-0.4316174143368887,29,24,13,3,0.04837279836454635,-0.09250867420139547
high_low_half_penalty_0_9_0_5,0.06156893675967439,0.676470588235294,0.6811594202898551,0.6388888888888888,0.71875,0.6486486486486487,low_is_c3,0.11764705882352941,23,13,24,9,0.08008443762120232,0.15636137511137513
consistency_score_file_q25,0.026700631942637252,0.6744186046511628,0.5942028985507246,0.5370370370370371,0.90625,0.32432432432432434,low_is_c3,0.5410299141725416,29,25,12,3,0.3380341939736106,0.401424045812952
c2_low_turn_avg_output_items,0.006517443442946423,0.673913043478261,0.5652173913043478,0.5166666666666667,0.96875,0.21621621621621623,low_is_c3,18.75,31,29,8,1,10.902938988095238,12.015424515424515
high_density_score_0_8,0.03739613525445495,0.6666666666666667,0.6231884057971014,0.5652173913043478,0.8125,0.4594594594594595,low_is_c3,0.26174217680018,26,20,17,6,0.21541948736299027,0.26282305079155066
c2_score_std,6.867985871608026e-05,0.6666666666666667,0.5507246376811594,0.5081967213114754,0.96875,0.1891891891891892,low_is_c3,0.3851295871898505,31,30,7,1,0.33252231031761664,0.3334052463424644
consistency_score_file_std,6.867985871608026e-05,0.6666666666666667,0.5507246376811594,0.5081967213114754,0.96875,0.1891891891891892,low_is_c3,0.3851295871898505,31,30,7,1,0.33252231031761664,0.3334052463424644
low_score_rate_0_8,0.04950080149246404,0.6666666666666666,0.6086956521739131,0.5510204081632653,0.84375,0.40540540540540543,high_is_c3,0.5714285714285714,27,22,15,5,0.6551975597931481,0.5920865920865921
high_score_rate_0_8,0.04950080149246395,0.6666666666666666,0.6086956521739131,0.5510204081632653,0.84375,0.40540540540540543,low_is_c3,0.42857142857142855,27,22,15,5,0.34480244020685197,0.4079134079134079
high_low_half_penalty_0_6_0_3,0.0346263613533212,0.6666666666666666,0.6086956521739131,0.5510204081632653,0.84375,0.40540540540540543,low_is_c3,0.5714285714285715,27,22,15,5,0.4322472258134023,0.5006237006237007
low_score_rate_0_6,0.0410412276939554,0.6595744680851063,0.5362318840579711,0.5,0.96875,0.16216216216216217,high_is_c3,0.2857142857142857,31,31,6,1,0.44410148674854555,0.3874220374220374
high_score_rate_0_6,0.04104122769395523,0.6595744680851063,0.5362318840579711,0.5,0.96875,0.16216216216216217,low_is_c3,0.7142857142857143,31,31,6,1,0.5558985132514545,0.6125779625779625
