score_key,direction,threshold,f1,precision,recall,accuracy,specificity,balanced_accuracy,tp,fp,tn,fn,n
high_low_gap_0_9_0_5,low_is_c3,-0.07142857142857145,0.6835443037974684,0.574468085106383,0.84375,0.6376811594202898,0.4594594594594595,0.6516047297297297,27,20,17,5,69
strict_high_low_gap_0_9_0_5,low_is_c3,-0.07142857142857145,0.6835443037974684,0.574468085106383,0.84375,0.6376811594202898,0.4594594594594595,0.6516047297297297,27,20,17,5,69
c2_repetition_symptom_score,high_is_c3,-0.4316174143368887,0.6823529411764705,0.5471698113207547,0.90625,0.6086956521739131,0.35135135135135137,0.6288006756756757,29,24,13,3,69
consistency_score_file_max,low_is_c3,-0.9999999140337527,0.6823529411764705,0.5471698113207547,0.90625,0.6086956521739131,0.35135135135135137,0.6288006756756757,29,24,13,3,69
high_low_half_penalty_0_9_0_5,low_is_c3,-0.11764705882352941,0.676470588235294,0.6388888888888888,0.71875,0.6811594202898551,0.6486486486486487,0.6836993243243243,23,13,24,9,69
consistency_score_file_q25,low_is_c3,-0.5410299141725416,0.6744186046511628,0.5370370370370371,0.90625,0.5942028985507246,0.32432432432432434,0.6152871621621622,29,25,12,3,69
c2_low_turn_avg_output_items,low_is_c3,-18.75,0.673913043478261,0.5166666666666667,0.96875,0.5652173913043478,0.21621621621621623,0.5924831081081081,31,29,8,1,69
high_density_score_0_8,low_is_c3,-0.26174217680018,0.6666666666666667,0.5652173913043478,0.8125,0.6231884057971014,0.4594594594594595,0.6359797297297297,26,20,17,6,69
c2_score_std,low_is_c3,-0.3851295871898505,0.6666666666666667,0.5081967213114754,0.96875,0.5507246376811594,0.1891891891891892,0.5789695945945946,31,30,7,1,69
consistency_score_file_std,low_is_c3,-0.3851295871898505,0.6666666666666667,0.5081967213114754,0.96875,0.5507246376811594,0.1891891891891892,0.5789695945945946,31,30,7,1,69
high_low_half_penalty_0_6_0_3,low_is_c3,-0.5714285714285715,0.6666666666666666,0.5510204081632653,0.84375,0.6086956521739131,0.40540540540540543,0.6245777027027027,27,22,15,5,69
high_score_rate_0_8,low_is_c3,-0.42857142857142855,0.6666666666666666,0.5510204081632653,0.84375,0.6086956521739131,0.40540540540540543,0.6245777027027027,27,22,15,5,69
low_score_rate_0_8,high_is_c3,0.5714285714285714,0.6666666666666666,0.5510204081632653,0.84375,0.6086956521739131,0.40540540540540543,0.6245777027027027,27,22,15,5,69
c2_low_turn_avg_output_items,high_is_c3,2.75,0.6666666666666666,0.5,1.0,0.5362318840579711,0.13513513513513514,0.5675675675675675,32,32,5,0,69
high_low_half_penalty_0_6_0_4,low_is_c3,-0.6785714285714286,0.6595744680851063,0.5,0.96875,0.5362318840579711,0.16216216216216217,0.5654560810810811,31,31,6,1,69
high_score_rate_0_6,low_is_c3,-0.7142857142857143,0.6595744680851063,0.5,0.96875,0.5362318840579711,0.16216216216216217,0.5654560810810811,31,31,6,1,69
low_score_rate_0_6,high_is_c3,0.2857142857142857,0.6595744680851063,0.5,0.96875,0.5362318840579711,0.16216216216216217,0.5654560810810811,31,31,6,1,69
high_score_rate_0_9,low_is_c3,-0.42857142857142855,0.6593406593406593,0.5084745762711864,0.9375,0.5507246376811594,0.21621621621621623,0.5768581081081081,30,29,8,2,69
low_score_rate_0_9,high_is_c3,0.5714285714285714,0.6593406593406593,0.5084745762711864,0.9375,0.5507246376811594,0.21621621621621623,0.5768581081081081,30,29,8,2,69
high_low_ratio_0_8_over_0_2,low_is_c3,-5.0,0.6593406593406593,0.4918032786885246,1.0,0.515625,0.08823529411764706,0.5441176470588235,30,31,3,0,64
high_low_gap_0_6_0_2,low_is_c3,-0.5714285714285714,0.6590909090909092,0.5178571428571429,0.90625,0.5652173913043478,0.2702702702702703,0.5882601351351351,29,27,10,3,69
high_low_gap_0_6_0_3,low_is_c3,-0.5,0.6588235294117648,0.5283018867924528,0.875,0.5797101449275363,0.32432432432432434,0.5996621621621622,28,25,12,4,69
num_phases,high_is_c3,8.0,0.6588235294117648,0.5283018867924528,0.875,0.5797101449275363,0.32432432432432434,0.5996621621621622,28,25,12,4,69
consistency_score_file_mean,low_is_c3,-0.6686569700464724,0.6585365853658537,0.54,0.84375,0.5942028985507246,0.3783783783783784,0.6110641891891893,27,23,14,5,69
high_low_gap_0_7_0_5,low_is_c3,-0.30769230769230765,0.6585365853658537,0.54,0.84375,0.5942028985507246,0.3783783783783784,0.6110641891891893,27,23,14,5,69
high_low_half_penalty_0_6_0_2,low_is_c3,-0.576923076923077,0.6585365853658537,0.54,0.84375,0.5942028985507246,0.3783783783783784,0.6110641891891893,27,23,14,5,69
high_low_half_penalty_0_7_0_5,low_is_c3,-0.42857142857142855,0.6585365853658537,0.54,0.84375,0.5942028985507246,0.3783783783783784,0.6110641891891893,27,23,14,5,69
mean_minus_std_score,low_is_c3,-0.2863668907726722,0.6582278481012658,0.5531914893617021,0.8125,0.6086956521739131,0.43243243243243246,0.6224662162162162,26,21,16,6,69
consistency_score_file_median,low_is_c3,-0.7010922523978672,0.6567164179104478,0.6285714285714286,0.6875,0.6666666666666666,0.6486486486486487,0.6680743243243243,22,13,24,10,69
