score_key,direction,threshold,f1,precision,recall,accuracy,tp,fp,tn,fn,pred_count
consistency_score_file_mean,low_is_c3,-0.4339586321470037,0.5,1.0,0.3333333333333333,0.9811320754716981,1,0,103,2,1
low_score_rate_0_2,high_is_c3,0.46153846153846156,0.5,1.0,0.3333333333333333,0.9811320754716981,1,0,103,2,1
high_score_rate_0_2,low_is_c3,-0.5384615384615384,0.5,1.0,0.3333333333333333,0.9811320754716981,1,0,103,2,1
phase_count::LanguageChoose,high_is_c3,3.0,0.4,0.5,0.3333333333333333,0.9716981132075472,1,1,102,2,2
high_score_rate_0_8,low_is_c3,-0.2,0.33333333333333337,0.2,1.0,0.8867924528301887,3,12,91,0,15
phase_mean::CodeReviewComment,low_is_c3,-0.07626841527679468,0.2857142857142857,0.16666666666666666,1.0,0.8584905660377359,3,15,88,0,18
role_mean::Code Reviewer,low_is_c3,-0.07626841527679468,0.2857142857142857,0.16666666666666666,1.0,0.8584905660377359,3,15,88,0,18
low_score_rate_0_4,high_is_c3,0.46153846153846156,0.25,0.2,0.3333333333333333,0.9433962264150944,1,4,99,2,5
consistency_score_file_q10,low_is_c3,-0.01412474192026519,0.25,0.14285714285714285,1.0,0.8301886792452831,3,18,85,0,21
phase_low05::CodeReviewComment,high_is_c3,1.0,0.21428571428571425,0.12,1.0,0.7924528301886793,3,22,81,0,25
role_low05::Code Reviewer,high_is_c3,1.0,0.21428571428571425,0.12,1.0,0.7924528301886793,3,22,81,0,25
consistency_score_file_median,low_is_c3,-0.5005845039073002,0.15384615384615383,0.1,0.3333333333333333,0.8962264150943396,1,9,94,2,10
role_mean::Chief Product Officer,low_is_c3,-0.6947858622827704,0.13953488372093023,0.075,1.0,0.6509433962264151,3,37,66,0,40
consistency_score_file_q25,low_is_c3,-0.22270016200956705,0.13793103448275862,0.07692307692307693,0.6666666666666666,0.7641509433962265,2,24,79,1,26
phase_mean::DemandAnalysis,low_is_c3,-0.7084752844842446,0.13636363636363635,0.07317073170731707,1.0,0.6415094339622641,3,38,65,0,41
low_score_rate_0_5,high_is_c3,0.46153846153846156,0.11764705882352941,0.07142857142857142,0.3333333333333333,0.8584905660377359,1,13,90,2,14
num_turns,high_is_c3,15.0,0.10526315789473684,0.0625,0.3333333333333333,0.839622641509434,1,15,88,2,16
role_mean::Programmer,low_is_c3,-0.4654138698687638,0.10526315789473684,0.05714285714285714,0.6666666666666666,0.6792452830188679,2,33,70,1,35
phase_mean::Manual,high_is_c3,0.7784616025724277,0.09090909090909091,0.05263157894736842,0.3333333333333333,0.8113207547169812,1,18,85,2,19
