jaccard_overlap,label_a,label_a_files,label_b,label_b_files,shared_files,union_files
1.0,c0,37,c0,37,37,37
0.0,c0,37,c1,32,0,69
0.0,c0,37,c2,52,0,89
0.0,c0,37,c3,32,0,69
0.0,c0,37,c4,37,0,74
0.0,c1,32,c0,37,0,69
1.0,c1,32,c1,32,32,32
0.2,c1,32,c2,52,14,70
0.28,c1,32,c3,32,14,50
0.3269230769230769,c1,32,c4,37,17,52
0.0,c2,52,c0,37,0,89
0.2,c2,52,c1,32,14,70
1.0,c2,52,c2,52,52,52
0.3770491803278688,c2,52,c3,32,23,61
0.3283582089552239,c2,52,c4,37,22,67
0.0,c3,32,c0,37,0,69
0.28,c3,32,c1,32,14,50
0.3770491803278688,c3,32,c2,52,23,61
1.0,c3,32,c3,32,32,32
0.35294117647058826,c3,32,c4,37,18,51
0.0,c4,37,c0,37,0,74
0.3269230769230769,c4,37,c1,32,17,52
0.3283582089552239,c4,37,c2,52,22,67
0.35294117647058826,c4,37,c3,32,18,51
1.0,c4,37,c4,37,37,37
