label,files,entries,outputs,entry_score_mean,output_score_mean
0.0,37,513,4898,0.6415984163983717,0.5588087475739406
1.1,32,430,3984,0.6206128486930059,0.562676278000411
1.3,11,150,1323,0.6154868482389899,0.5790006065289621
1.4,1,13,124,0.44134676399816064,0.41628925894870755
1.5,12,163,1443,0.60481456460256,0.5494515053137755
2.1,1,13,124,0.44134676399816064,0.41628925894870755
2.2,12,163,1444,0.5910676621357861,0.545496676186562
2.3,11,150,1345,0.5815761431811715,0.5304330060125572
2.4,4,53,478,0.5336625807008812,0.47196900910316986
2.6,17,226,2193,0.603860174482848,0.5169902530959009
3.1,7,93,849,0.5771872851669878,0.5046245081326501
3.2,7,96,850,0.6036719246171504,0.6029308677448757
3.3,15,199,1893,0.6061114628104569,0.5296748404060281
trajectory,69,943,8882,0.6320291755571127,0.5605435191590662
