jaccard_overlap,label_a,label_a_files,label_b,label_b_files,shared_files,union_files
1.0,c0,37,c0,37,37,37
0.0,c0,37,c1,32,0,69
0.0,c0,37,c2,15,0,52
0.0,c0,37,c3,15,0,52
0.0,c0,37,c4,17,0,54
0.0,c1,32,c0,37,0,69
1.0,c1,32,c1,32,32,32
0.42424242424242425,c1,32,c2,15,14,33
0.42424242424242425,c1,32,c3,15,14,33
0.53125,c1,32,c4,17,17,32
0.0,c2,15,c0,37,0,52
0.42424242424242425,c2,15,c1,32,14,33
1.0,c2,15,c2,15,15,15
0.5,c2,15,c3,15,10,20
0.3333333333333333,c2,15,c4,17,8,24
0.0,c3,15,c0,37,0,52
0.42424242424242425,c3,15,c1,32,14,33
0.5,c3,15,c2,15,10,20
1.0,c3,15,c3,15,15,15
0.391304347826087,c3,15,c4,17,9,23
0.0,c4,17,c0,37,0,54
0.53125,c4,17,c1,32,17,32
0.3333333333333333,c4,17,c2,15,8,24
0.391304347826087,c4,17,c3,15,9,23
1.0,c4,17,c4,17,17,17
