score_key,direction,threshold,f1,f2,precision,recall,accuracy,specificity,balanced_accuracy,tp,fp,tn,fn,n
c0_vs_c2_lda_top_74_score,high_is_c2,-0.37546972032976933,0.7704918032786885,0.8453237410071943,0.6714285714285714,0.9038461538461539,0.6853932584269663,0.3783783783783784,0.6411122661122661,47,23,14,5,89
c0_vs_c2_lda_top_20_score,high_is_c2,-0.2922227423043745,0.7666666666666666,0.8333333333333335,0.6764705882352942,0.8846153846153846,0.6853932584269663,0.40540540540540543,0.645010395010395,46,22,15,6,89
c0_vs_c2_lda_top_30_score,high_is_c2,-0.4653831810877877,0.765625,0.8626760563380282,0.6447368421052632,0.9423076923076923,0.6629213483146067,0.2702702702702703,0.6062889812889813,49,27,10,3,89
c0_vs_c2_lda_top_50_score,high_is_c2,-0.25608152034998444,0.7610619469026548,0.7992565055762081,0.7049180327868853,0.8269230769230769,0.6966292134831461,0.5135135135135135,0.6702182952182951,43,18,19,9,89
consistency_score_file_q25,low_is_c2,0.70635,0.759124087591241,0.8873720136518771,0.611764705882353,1.0,0.6292134831460674,0.10810810810810811,0.5540540540540541,52,33,4,0,89
c0_vs_c2_lda_top_8_score,high_is_c2,-0.3402564892426091,0.7559055118110237,0.8480565371024735,0.64,0.9230769230769231,0.651685393258427,0.2702702702702703,0.5966735966735968,48,27,10,4,89
c0_vs_c2_lda_top_12_score,high_is_c2,-0.3265756024066635,0.7559055118110237,0.8480565371024735,0.64,0.9230769230769231,0.651685393258427,0.2702702702702703,0.5966735966735968,48,27,10,4,89
high_density_score_0_8,high_is_c2,0.20156001690617076,0.7499999999999999,0.8732876712328766,0.6071428571428571,0.9807692307692307,0.6179775280898876,0.10810810810810811,0.5444386694386694,51,33,4,1,89
high_low_gap_0_7_0_2,low_is_c2,0.7375565610859729,0.7499999999999999,0.8732876712328766,0.6071428571428571,0.9807692307692307,0.6179775280898876,0.10810810810810811,0.5444386694386694,51,33,4,1,89
high_low_gap_0_7_0_3,low_is_c2,0.7375565610859729,0.7499999999999999,0.8732876712328766,0.6071428571428571,0.9807692307692307,0.6179775280898876,0.10810810810810811,0.5444386694386694,51,33,4,1,89
