label,files,entries,outputs,entry_mismatch_score_mean,output_mismatch_score_mean,scoring_definition,premise_order,action_fields
0.0,37,513,4898,0.25009154070686496,0.20618987497131308,action_reasoning_mismatch,known_context,output
1.1,17,226,2193,0.2457551869578267,0.19504840333804452,action_reasoning_mismatch,known_context,output
1.3,20,274,2598,0.23664773217276208,0.2217565637724715,action_reasoning_mismatch,known_context,output
1.4,3,40,362,0.17982932127518741,0.1533821293248066,action_reasoning_mismatch,known_context,output
1.5,21,286,2711,0.24308962259658165,0.22421703125745912,action_reasoning_mismatch,known_context,output
2.1,2,26,255,0.2066302146161563,0.1560172516638392,action_reasoning_mismatch,known_context,output
2.2,16,216,2024,0.23198605812467932,0.2104703539186206,action_reasoning_mismatch,known_context,output
2.3,11,148,1386,0.23036064332882886,0.19100141170661242,action_reasoning_mismatch,known_context,output
2.4,3,39,394,0.1941175856740983,0.14476188361938863,action_reasoning_mismatch,known_context,output
2.6,37,510,4806,0.23514775006141636,0.21215741924031267,action_reasoning_mismatch,known_context,output
3.1,8,110,978,0.2429633663774559,0.22374879505940543,action_reasoning_mismatch,known_context,output
3.2,3,40,368,0.18975456383330577,0.1846171781736797,action_reasoning_mismatch,known_context,output
3.3,16,215,1992,0.24895331756017156,0.2210805784201983,action_reasoning_mismatch,known_context,output
trajectory,74,1023,9704,0.2426415571006294,0.209145359076506,action_reasoning_mismatch,known_context,output
