score_key,direction,threshold,f1,precision,recall,specificity,accuracy,balanced_accuracy,tp,fp,tn,fn,n
alignment_score_high_rate_0_1,high_is_2.6,0.6396396396396397,0.6666666666666666,0.5,1.0,0.0,0.5,0.5,37,37,0,0,74
alignment_score_high_rate_0_1,high_is_2.6,0.6602453517347134,0.6545454545454545,0.4931506849315068,0.972972972972973,0.0,0.4864864864864865,0.4864864864864865,36,37,0,1,74
alignment_score_high_rate_0_1,high_is_2.6,0.6891097424412094,0.6605504587155964,0.5,0.972972972972973,0.02702702702702703,0.5,0.5,36,36,1,1,74
alignment_score_high_rate_0_1,high_is_2.6,0.701858813700919,0.6666666666666666,0.5070422535211268,0.972972972972973,0.05405405405405406,0.5135135135135135,0.5135135135135136,36,35,2,1,74
alignment_score_high_rate_0_1,high_is_2.6,0.706833139759969,0.6542056074766355,0.5,0.9459459459459459,0.05405405405405406,0.5,0.5,35,35,2,2,74
alignment_score_high_rate_0_1,high_is_2.6,0.7118145649541602,0.660377358490566,0.5072463768115942,0.9459459459459459,0.08108108108108109,0.5135135135135135,0.5135135135135135,35,34,3,2,74
alignment_score_high_rate_0_1,high_is_2.6,0.7213635755386056,0.6476190476190476,0.5,0.918918918918919,0.08108108108108109,0.5,0.5,34,34,3,3,74
alignment_score_high_rate_0_1,high_is_2.6,0.728948287910552,0.6538461538461539,0.5074626865671642,0.918918918918919,0.10810810810810811,0.5135135135135135,0.5135135135135136,34,33,4,3,74
alignment_score_high_rate_0_1,high_is_2.6,0.7324074074074074,0.6601941747572816,0.5151515151515151,0.918918918918919,0.13513513513513514,0.527027027027027,0.5270270270270271,34,32,5,3,74
alignment_score_high_rate_0_1,high_is_2.6,0.7360360360360361,0.6470588235294117,0.5076923076923077,0.8918918918918919,0.13513513513513514,0.5135135135135135,0.5135135135135135,33,32,5,4,74
alignment_score_high_rate_0_1,high_is_2.6,0.7443693693693694,0.6336633663366337,0.5,0.8648648648648649,0.13513513513513514,0.5,0.5,32,32,5,5,74
alignment_score_high_rate_0_1,high_is_2.6,0.7526978417266187,0.6262626262626263,0.5,0.8378378378378378,0.16216216216216217,0.5,0.5,31,31,6,6,74
