score_key,threshold,direction,precision,recall,specificity,accuracy,f1,tp,fp,tn,fn
high_low_half_penalty_0_8_0_2,0.1291208791208791,low_is_c4,0.8571428571428571,0.16216216216216217,0.972972972972973,0.5675675675675675,0.27272727272727276,6,1,36,31
high_density_score_0_8,0.15874197827948816,low_is_c4,0.8,0.32432432432432434,0.918918918918919,0.6216216216216216,0.46153846153846156,12,3,34,25
high_density_score_0_8,0.15509970189233394,low_is_c4,0.7857142857142857,0.2972972972972973,0.918918918918919,0.6081081081081081,0.43137254901960786,11,3,34,26
high_low_gap_0_7_0_2,0.14835164835164838,low_is_c4,0.7777777777777778,0.1891891891891892,0.9459459459459459,0.5675675675675675,0.30434782608695654,7,2,35,30
high_low_half_penalty_0_8_0_4,0.07417582417582418,low_is_c4,0.7777777777777778,0.1891891891891892,0.9459459459459459,0.5675675675675675,0.30434782608695654,7,2,35,30
high_low_half_penalty_0_8_0_5,0.01785714285714285,low_is_c4,0.7777777777777778,0.1891891891891892,0.9459459459459459,0.5675675675675675,0.30434782608695654,7,2,35,30
consistency_score_file_q75,0.7908174014635103,low_is_c4,0.7692307692307693,0.2702702702702703,0.918918918918919,0.5945945945945946,0.4,10,3,34,27
high_density_score_0_8,0.1502191346609255,low_is_c4,0.7692307692307693,0.2702702702702703,0.918918918918919,0.5945945945945946,0.4,10,3,34,27
high_low_half_penalty_0_8_0_2,0.18543956043956045,low_is_c4,0.7692307692307693,0.2702702702702703,0.918918918918919,0.5945945945945946,0.4,10,3,34,27
high_score_rate_0_8,0.2582417582417582,low_is_c4,0.7692307692307693,0.2702702702702703,0.918918918918919,0.5945945945945946,0.4,10,3,34,27
high_density_score_0_8,0.1602782002585893,low_is_c4,0.75,0.32432432432432434,0.8918918918918919,0.6081081081081081,0.4528301886792453,12,4,33,25
consistency_score_file_q75,0.7880470445604988,low_is_c4,0.75,0.24324324324324326,0.918918918918919,0.581081081081081,0.3673469387755103,9,3,34,28
high_density_score_0_8,0.14715165441410427,low_is_c4,0.75,0.24324324324324326,0.918918918918919,0.581081081081081,0.3673469387755103,9,3,34,28
high_low_gap_0_8_0_2,0.07417582417582419,low_is_c4,0.75,0.24324324324324326,0.918918918918919,0.581081081081081,0.3673469387755103,9,3,34,28
high_density_score_0_8,0.1277040687911976,low_is_c4,0.75,0.16216216216216217,0.9459459459459459,0.5540540540540541,0.26666666666666666,6,2,35,31
high_low_gap_0_7_0_2,0.14285714285714285,low_is_c4,0.75,0.16216216216216217,0.9459459459459459,0.5540540540540541,0.26666666666666666,6,2,35,31
high_low_gap_0_8_0_5,-0.23076923076923075,low_is_c4,0.75,0.16216216216216217,0.9459459459459459,0.5540540540540541,0.26666666666666666,6,2,35,31
high_low_half_penalty_0_8_0_2,0.14835164835164835,low_is_c4,0.75,0.16216216216216217,0.9459459459459459,0.5540540540540541,0.26666666666666666,6,2,35,31
high_low_half_penalty_0_8_0_3,0.11126373626373626,low_is_c4,0.75,0.16216216216216217,0.9459459459459459,0.5540540540540541,0.26666666666666666,6,2,35,31
high_score_rate_0_2,0.7655677655677655,low_is_c4,0.75,0.16216216216216217,0.9459459459459459,0.5540540540540541,0.26666666666666666,6,2,35,31
high_low_half_penalty_0_8_0_4,0.09203296703296703,low_is_c4,0.7333333333333333,0.2972972972972973,0.8918918918918919,0.5945945945945946,0.42307692307692313,11,4,33,26
consistency_score_file_q75,0.7862101382014967,low_is_c4,0.7272727272727273,0.21621621621621623,0.918918918918919,0.5675675675675675,0.33333333333333337,8,3,34,29
high_density_score_0_8,0.14354327285176927,low_is_c4,0.7272727272727273,0.21621621621621623,0.918918918918919,0.5675675675675675,0.33333333333333337,8,3,34,29
consistency_score_file_q75,0.8032040453973344,low_is_c4,0.7142857142857143,0.2702702702702703,0.8918918918918919,0.581081081081081,0.39215686274509803,10,4,33,27
high_density_score_0_8,0.16214992282141327,low_is_c4,0.7058823529411765,0.32432432432432434,0.8648648648648649,0.5945945945945946,0.44444444444444453,12,5,32,25
high_low_half_penalty_0_8_0_2,0.2032967032967033,low_is_c4,0.7058823529411765,0.32432432432432434,0.8648648648648649,0.5945945945945946,0.44444444444444453,12,5,32,25
consistency_score_file_q75,0.8374364168133258,low_is_c4,0.7,0.3783783783783784,0.8378378378378378,0.6081081081081081,0.4912280701754387,14,6,31,23
high_low_gap_0_8_0_2,0.14835164835164838,low_is_c4,0.7,0.3783783783783784,0.8378378378378378,0.6081081081081081,0.4912280701754387,14,6,31,23
high_score_rate_0_8,0.2967032967032967,low_is_c4,0.7,0.3783783783783784,0.8378378378378378,0.6081081081081081,0.4912280701754387,14,6,31,23
consistency_score_file_q75,0.7814430048553755,low_is_c4,0.7,0.1891891891891892,0.918918918918919,0.5540540540540541,0.2978723404255319,7,3,34,30
high_density_score_0_8,0.138238791706932,low_is_c4,0.7,0.1891891891891892,0.918918918918919,0.5540540540540541,0.2978723404255319,7,3,34,30
high_low_gap_0_8_0_2,0.07142857142857144,low_is_c4,0.7,0.1891891891891892,0.918918918918919,0.5540540540540541,0.2978723404255319,7,3,34,30
high_low_half_penalty_0_8_0_2,0.1662087912087912,low_is_c4,0.7,0.1891891891891892,0.918918918918919,0.5540540540540541,0.2978723404255319,7,3,34,30
