score_key,eta2,f1,accuracy,precision,recall,specificity,balanced_accuracy,direction,threshold,tp,fp,tn,fn,n,c4_mean,c0_mean
high_low_gap_0_7_0_5,0.04269956105869048,0.7234042553191489,0.6486486486486487,0.5964912280701754,0.918918918918919,0.3783783783783784,0.6486486486486487,low_is_c4,0.2967032967032967,34,23,14,3,74,0.07111177111177111,0.15322699072699072
consistency_score_file_mean,0.06315971826852937,0.7216494845360825,0.6351351351351351,0.5833333333333334,0.9459459459459459,0.32432432432432434,0.6351351351351351,low_is_c4,0.6779770331598836,35,25,12,2,74,0.6043909753317099,0.6392507327430709
low_tail_penalty_score,0.06417192127239217,0.72,0.6216216216216216,0.5714285714285714,0.972972972972973,0.2702702702702703,0.6216216216216217,low_is_c4,0.6492420468791722,36,27,10,1,74,0.45430682524755983,0.5270019454942837
high_low_gap_0_7_0_4,0.04696562083839249,0.72,0.6216216216216216,0.5714285714285714,0.972972972972973,0.2702702702702703,0.6216216216216217,low_is_c4,0.3846153846153846,36,27,10,1,74,0.1479061479061479,0.22802362802362802
failure_sensitive_score,0.08013446761712895,0.7191011235955056,0.6621621621621622,0.6153846153846154,0.8648648648648649,0.4594594594594595,0.6621621621621622,low_is_c4,0.48788642278408156,32,20,17,5,74,0.44170803581062196,0.4825216118652089
high_low_half_penalty_0_9_0_4,0.03476938541375178,0.7184466019417475,0.6081081081081081,0.5606060606060606,1.0,0.21621621621621623,0.6081081081081081,low_is_c4,0.27524038461538464,37,29,8,0,74,0.11624591624591624,0.15794455169455168
mean_minus_std_score,0.05392528610172612,0.7173913043478262,0.6486486486486487,0.6,0.8918918918918919,0.40540540540540543,0.6486486486486487,low_is_c4,0.3680435979050477,33,22,15,4,74,0.29025100661062614,0.3387239224293411
consistency_score_file_min,0.058815439015111375,0.7157894736842105,0.6351351351351351,0.5862068965517241,0.918918918918919,0.35135135135135137,0.6351351351351352,low_is_c4,0.1671193242602586,34,24,13,3,74,0.06211451026141689,0.11682032981686438
worst_score,0.058815439015111375,0.7157894736842105,0.6351351351351351,0.5862068965517241,0.918918918918919,0.35135135135135137,0.6351351351351352,low_is_c4,0.1671193242602586,34,24,13,3,74,0.06211451026141689,0.11682032981686438
high_low_gap_0_9_0_5,0.03393500611492636,0.7142857142857142,0.6216216216216216,0.5737704918032787,0.9459459459459459,0.2972972972972973,0.6216216216216216,low_is_c4,0.07417582417582419,35,26,11,2,74,-0.10593010593010593,-0.04641413391413391
high_low_half_penalty_0_7_0_4,0.05046991867395409,0.712871287128713,0.6081081081081081,0.5625,0.972972972972973,0.24324324324324326,0.6081081081081081,low_is_c4,0.48333333333333334,36,28,9,1,74,0.2932877932877933,0.35758567633567634
high_low_half_penalty_0_9_0_5,0.032764628273268176,0.7115384615384616,0.5945945945945946,0.5522388059701493,1.0,0.1891891891891892,0.5945945945945946,low_is_c4,0.25,37,30,7,0,74,0.07784872784872784,0.12054623304623305
high_low_gap_0_7_0_2,0.08554373468157911,0.7096774193548389,0.6351351351351351,0.5892857142857143,0.8918918918918919,0.3783783783783784,0.6351351351351351,low_is_c4,0.4285714285714286,33,23,14,4,74,0.2885852885852886,0.3748989373989374
consistency_score_file_q75,0.03439690705034094,0.7096774193548389,0.6351351351351351,0.5892857142857143,0.8918918918918919,0.3783783783783784,0.6351351351351351,low_is_c4,0.9680208886296029,33,23,14,4,74,0.8706199380160996,0.9049584479884258
high_low_half_penalty_0_7_0_2,0.07318954600663809,0.7070707070707071,0.6081081081081081,0.5645161290322581,0.9459459459459459,0.2702702702702703,0.6081081081081081,low_is_c4,0.5178571428571428,35,27,10,2,74,0.36362736362736364,0.431023331023331
high_low_gap_0_9_0_4,0.03543442591285421,0.7047619047619048,0.581081081081081,0.5441176470588235,1.0,0.16216216216216217,0.5810810810810811,low_is_c4,0.17692307692307693,37,31,6,0,74,-0.029135729135729142,0.028382503382503383
high_low_half_penalty_0_9_0_3,0.02432762578529561,0.7047619047619048,0.581081081081081,0.5441176470588235,1.0,0.16216216216216217,0.5810810810810811,low_is_c4,0.33379120879120877,37,31,6,0,74,0.15886050886050887,0.19177948552948554
