log_name,role,turn,phase,support_score__fm_2_2_2_3,norm_score__fm_1_1_1_2,repetition_score__fm_1_3,plan_action_alignment__fm_2_6
ChatDev_ProgramDev_GPT4o_18,Chief Product Officer,1,DemandAnalysis,0.3257,0.0186,0.0,0.5
ChatDev_ProgramDev_GPT4o_18,Chief Product Officer,2,DemandAnalysis,0.5016,0.0019,0.7523,0.5
ChatDev_ProgramDev_GPT4o_18,Chief Product Officer,3,Manual,0.5,0.0085,0.4087,0.5
ChatDev_ProgramDev_GPT4o_18,Chief Technology Officer,1,LanguageChoose,0.5,-0.0165,0.0,0.5
ChatDev_ProgramDev_GPT4o_18,Programmer,1,Coding,0.2478,0.013,0.0,0.6328
ChatDev_ProgramDev_GPT4o_18,Programmer,2,CodeReviewModification,0.3091,0.008,0.8843,0.5
ChatDev_ProgramDev_GPT4o_18,Programmer,3,CodeReviewModification,0.2945,0.0047,0.9568,0.5835
ChatDev_ProgramDev_GPT4o_18,Programmer,4,CodeReviewModification,0.2945,0.0028,0.9677,0.5
ChatDev_ProgramDev_GPT4o_18,Programmer,5,EnvironmentDoc,0.5,-0.0306,0.241,0.5
ChatDev_ProgramDev_GPT4o_18,Code Reviewer,1,CodeReviewComment,0.4196,0.0032,0.0,0.5
ChatDev_ProgramDev_GPT4o_18,Code Reviewer,2,CodeReviewComment,0.3565,0.0014,0.9873,0.5
ChatDev_ProgramDev_GPT4o_18,Code Reviewer,3,CodeReviewComment,0.3801,0.0028,0.9758,0.5
ChatDev_ProgramDev_GPT4o_18,Chief Executive Officer,1,Reflection,0.5,-0.031,0.0,0.5
ChatDev_ProgramDev_GPT4o_27,Chief Product Officer,1,DemandAnalysis,0.3055,0.0219,0.0,0.5
ChatDev_ProgramDev_GPT4o_27,Chief Product Officer,2,DemandAnalysis,0.338,0.0217,0.8374,0.5
ChatDev_ProgramDev_GPT4o_27,Chief Product Officer,3,Manual,0.5,0.0069,0.2778,0.5
ChatDev_ProgramDev_GPT4o_27,Chief Technology Officer,1,LanguageChoose,0.5,-0.0102,0.0,0.5
ChatDev_ProgramDev_GPT4o_27,Programmer,1,Coding,0.1735,0.0229,0.0,0.6977
ChatDev_ProgramDev_GPT4o_27,Programmer,2,CodeReviewModification,0.2957,0.0161,0.9225,0.5
ChatDev_ProgramDev_GPT4o_27,Programmer,3,CodeReviewModification,0.1625,0.0164,0.9945,0.5
ChatDev_ProgramDev_GPT4o_27,Programmer,4,CodeReviewModification,0.1625,0.0162,0.9985,0.5
ChatDev_ProgramDev_GPT4o_27,Programmer,5,EnvironmentDoc,0.5,-0.0284,0.2649,0.5
ChatDev_ProgramDev_GPT4o_27,Code Reviewer,1,CodeReviewComment,0.222,-0.0116,0.0,0.727
ChatDev_ProgramDev_GPT4o_27,Code Reviewer,2,CodeReviewComment,0.2461,-0.0041,0.6715,0.5
ChatDev_ProgramDev_GPT4o_27,Code Reviewer,3,CodeReviewComment,0.3974,-0.0093,0.7935,0.5
ChatDev_ProgramDev_GPT4o_27,Chief Executive Officer,1,Reflection,0.5,-0.022,0.0,0.5
ChatDev_ProgramDev_GPT4o_5,Chief Product Officer,1,DemandAnalysis,0.5904,0.0013,0.0,0.5
ChatDev_ProgramDev_GPT4o_5,Chief Product Officer,2,DemandAnalysis,0.4691,0.0233,0.8053,0.5
ChatDev_ProgramDev_GPT4o_5,Chief Product Officer,3,Manual,0.5,-0.0009,0.5299,0.5
ChatDev_ProgramDev_GPT4o_5,Chief Technology Officer,1,LanguageChoose,0.5,-0.006,0.0,0.5
ChatDev_ProgramDev_GPT4o_5,Programmer,1,Coding,0.2535,0.5,0.0,0.5091
ChatDev_ProgramDev_GPT4o_5,Programmer,2,CodeReviewModification,0.1355,0.0023,0.8244,0.5
ChatDev_ProgramDev_GPT4o_5,Programmer,3,CodeReviewModification,0.181,0.0029,0.997,0.5
ChatDev_ProgramDev_GPT4o_5,Programmer,4,CodeReviewModification,0.1297,0.0029,1.0,0.5
ChatDev_ProgramDev_GPT4o_5,Programmer,5,EnvironmentDoc,0.5,0.5,0.2152,0.5
ChatDev_ProgramDev_GPT4o_5,Code Reviewer,1,CodeReviewComment,0.5,-0.0208,0.0,0.5
ChatDev_ProgramDev_GPT4o_5,Code Reviewer,2,CodeReviewComment,0.5,-0.0208,1.0,0.5
ChatDev_ProgramDev_GPT4o_5,Code Reviewer,3,CodeReviewComment,0.5,-0.0208,1.0,0.5
ChatDev_ProgramDev_GPT4o_5,Chief Executive Officer,1,Reflection,0.5,-0.0283,0.0,0.5
ChatDev_ProgramDev_GPT4o_8,Chief Product Officer,1,DemandAnalysis,0.3951,0.0173,0.0,0.5
ChatDev_ProgramDev_GPT4o_8,Chief Product Officer,2,DemandAnalysis,0.5769,0.0061,0.8454,0.5
ChatDev_ProgramDev_GPT4o_8,Chief Product Officer,3,Manual,0.5,0.0263,0.6011,0.5
ChatDev_ProgramDev_GPT4o_8,Chief Technology Officer,1,LanguageChoose,0.5,-0.0148,0.0,0.5
ChatDev_ProgramDev_GPT4o_8,Programmer,1,Coding,0.3375,0.0203,0.0,0.5893
ChatDev_ProgramDev_GPT4o_8,Programmer,2,CodeReviewModification,0.3057,0.0149,0.9089,0.5
ChatDev_ProgramDev_GPT4o_8,Programmer,3,CodeReviewModification,0.3057,0.0152,0.988,0.6329
ChatDev_ProgramDev_GPT4o_8,Programmer,4,CodeReviewModification,0.3027,0.0166,0.9958,0.6721
ChatDev_ProgramDev_GPT4o_8,Programmer,5,EnvironmentDoc,0.5,-0.0381,0.2427,0.5
ChatDev_ProgramDev_GPT4o_8,Code Reviewer,1,CodeReviewComment,0.2911,-0.006,0.0,0.5
ChatDev_ProgramDev_GPT4o_8,Code Reviewer,2,CodeReviewComment,0.3884,-0.0014,0.9367,0.5
ChatDev_ProgramDev_GPT4o_8,Code Reviewer,3,CodeReviewComment,0.3715,-0.009,0.9676,0.5
ChatDev_ProgramDev_GPT4o_8,Chief Executive Officer,1,Reflection,0.5,-0.0381,0.0,0.5
